fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,136724.4
1.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,136724.4
0.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,46649.4
0.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,46649.4
0.0,0.0,1.0,1.0,1.0,128.0,2.0,4096.0,46785.8
0.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,46649.4
0.0,0.0,1.0,1.0,1.0,256.0,8.0,4096.0,46812.0
0.0,0.0,1.0,1.0,1.0,128.0,8.0,256.0,46778.0
0.0,0.0,1.0,1.0,1.0,128.0,8.0,1024.0,46669.0
0.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,46649.4
0.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,46649.4
1.0,0.0,1.0,1.0,1.0,128.0,8.0,4096.0,136724.4
0.0,0.0,1.0,1.0,1.0,128.0,32.0,4096.0,46593.6
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,1.0,1.0,1.0,0.0,128.0,32.0,4096.0,46612.8
0.0,0.0,1.0,1.0,0.0,256.0,32.0,4096.0,47278.0
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,0.0,1.0,1.0,0.0,256.0,32.0,4096.0,47278.0
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,0.0,1.0,1.0,1.0,128.0,32.0,4096.0,46593.6
0.0,0.0,1.0,1.0,0.0,256.0,32.0,4096.0,47278.0
0.0,0.0,1.0,1.0,0.0,128.0,8.0,4096.0,46503.2
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,1.0,1.0,1.0,0.0,128.0,32.0,4096.0,46612.8
0.0,0.0,0.0,1.0,0.0,128.0,32.0,4096.0,46365.0
0.0,0.0,1.0,1.0,0.0,256.0,32.0,4096.0,47278.0
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,0.0,1.0,1.0,0.0,128.0,32.0,4096.0,46256.6
0.0,0.0,1.0,0.0,0.0,128.0,32.0,4096.0,46233.6
0.0,0.0,0.0,0.0,0.0,128.0,32.0,4096.0,46476.2
0.0,0.0,1.0,0.0,0.0,128.0,32.0,4096.0,46233.6
1.0,0.0,1.0,0.0,0.0,128.0,32.0,4096.0,137057.4
0.0,0.0,1.0,0.0,1.0,128.0,32.0,4096.0,46408.8
0.0,0.0,1.0,0.0,0.0,128.0,32.0,4096.0,46233.6
0.0,0.0,1.0,0.0,0.0,128.0,32.0,4096.0,46233.6
0.0,0.0,1.0,0.0,0.0,128.0,32.0,4096.0,46233.6
0.0,0.0,1.0,0.0,0.0,128.0,32.0,256.0,46078.8
0.0,0.0,1.0,1.0,0.0,128.0,32.0,256.0,46471.0
0.0,0.0,1.0,0.0,0.0,128.0,8.0,256.0,46140.0
0.0,0.0,1.0,0.0,0.0,256.0,32.0,256.0,46243.2
1.0,0.0,1.0,0.0,0.0,128.0,32.0,256.0,135051.0
