WindowSize,CompressionLevel,Performance
24.0,1.0,1.57
24.0,0.0,1.574
24.0,1.0,1.57
24.0,10.0,392.744
24.0,6.0,10.176
20.0,1.0,1.636
17.0,1.0,1.612
16.0,1.0,1.598
24.0,9.0,108.602
24.0,4.0,2.708
17.0,1.0,1.612
18.0,6.0,7.51
14.0,6.0,4.874
12.0,6.0,3.846
12.0,7.0,5.266
12.0,4.0,3.004
14.0,4.0,2.894
19.0,4.0,2.8
17.0,4.0,2.848
10.0,4.0,3.02
13.0,4.0,2.972
19.0,7.0,10.05
19.0,8.0,11.508
19.0,4.0,2.8
19.0,9.0,14.048
14.0,4.0,2.894
15.0,4.0,2.834
15.0,4.0,2.834
19.0,10.0,258.558
19.0,10.0,258.558
11.0,10.0,343.594
19.0,6.0,9.336
10.0,6.0,3.386
24.0,6.0,10.176
17.0,6.0,6.34
10.0,3.0,2.616
10.0,3.0,2.616
10.0,2.0,2.146
10.0,11.0,363.346
10.0,4.0,3.02
10.0,11.0,363.346
10.0,7.0,4.874
10.0,3.0,2.616
13.0,2.0,1.942
13.0,7.0,5.554
18.0,2.0,2.094
13.0,1.0,1.514
13.0,9.0,6.862
13.0,8.0,5.62
13.0,0.0,1.514
13.0,2.0,1.942
13.0,9.0,6.862
14.0,1.0,1.46
14.0,10.0,301.488
14.0,0.0,1.472
10.0,1.0,1.666
14.0,4.0,2.894
14.0,7.0,5.896
14.0,9.0,7.404
14.0,1.0,1.46
13.0,1.0,1.514
21.0,1.0,1.598
14.0,2.0,1.9
22.0,3.0,2.5
17.0,3.0,2.564
10.0,3.0,2.616
22.0,3.0,2.5
16.0,3.0,2.508
22.0,8.0,25.432
23.0,3.0,2.478
23.0,5.0,7.178
23.0,6.0,10.22
15.0,3.0,2.392
13.0,3.0,2.37
17.0,3.0,2.564
10.0,3.0,2.616
13.0,5.0,4.128
13.0,10.0,313.652
13.0,0.0,1.514
20.0,0.0,1.63
13.0,7.0,5.554
13.0,8.0,5.62
13.0,4.0,2.972
13.0,8.0,5.62
10.0,0.0,1.662
23.0,0.0,1.556
12.0,0.0,1.528
13.0,0.0,1.514
16.0,0.0,1.59
10.0,0.0,1.662
20.0,0.0,1.63
13.0,0.0,1.514
13.0,6.0,4.3
13.0,1.0,1.514
23.0,0.0,1.556
19.0,0.0,1.614
15.0,0.0,1.534
16.0,0.0,1.59
13.0,1.0,1.514
21.0,0.0,1.604
