new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.632
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.632
4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.094
4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.646
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.496
4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,24.092
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22.746
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.496
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.496
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.496
4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,23.896
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.496
4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,47.374
4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.496
4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,24.092
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.396
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.396
1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,82.198
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.396
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,23.114
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.396
4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24.194
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,23.114
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.998
4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,23.896
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.998
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.998
4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,23.896
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,23.338
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,23.194
4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,23.896
4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.998
1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,82.35
4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,23.896
4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,23.672
4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,23.672
4.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,23.452
4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,23.672
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,30.756
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
4.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,24.538
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.244
4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,23.666
2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,45.726
4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,23.206
4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,23.206
4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,23.206
4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,23.206
4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,23.296
4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,23.296
4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,24.218
