new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,1,1,0,0,70,2048,10,48449.4
3,1,1,1,1,30,16,10,47730.8
2,0,1,0,0,70,64,0,4757.2
3,0,1,0,0,100,2,8,39216.4
4,1,1,0,0,70,4,6,23642.0
2,0,1,0,1,50,256,0,4859.2
3,1,0,0,0,0,1024,2,15960.6
1,0,1,0,1,0,1,0,17947.6
5,0,0,1,1,80,32,0,9248.2
3,0,0,0,0,10,32,4,12512.8
3,0,0,1,1,80,256,6,10632.2
5,0,0,0,1,70,128,6,47597.2
3,1,1,0,0,30,512,4,12114.4
5,0,1,0,0,90,64,0,9168.0
1,1,0,1,1,70,32,2,17712.2
3,0,1,1,1,100,4,10,46843.0
3,1,0,0,0,60,64,10,48585.4
4,1,0,0,1,0,1024,2,11892.4
5,0,0,1,1,70,1,8,121216.2
2,0,1,0,1,90,8,8,86307.6
1,0,0,1,0,10,64,8,105515.4
2,1,0,0,0,60,2,10,80410.4
2,1,1,0,1,60,64,0,4719.8
4,0,1,1,1,30,2048,0,35746.2
2,1,1,1,1,30,8,4,12197.2
3,1,1,1,0,90,32,8,37850.0
5,1,0,0,1,90,32,4,9136.4
1,1,1,0,1,40,512,6,89940.0
4,0,0,1,0,80,4096,2,35690.0
5,0,0,0,0,90,2048,2,9169.4
4,0,0,0,0,10,128,10,144015.6
1,0,1,0,1,80,1,4,15212.8
1,0,0,0,0,10,16,6,85464.8
2,1,1,0,0,40,64,2,4862.8
4,0,1,0,0,90,64,0,8909.8
3,1,0,1,0,70,4096,0,12182.4
3,0,1,1,0,60,2048,10,48451.2
5,0,1,1,0,40,512,10,302798.4
3,1,0,1,0,90,2,0,13103.8
5,1,1,1,0,10,2,0,9131.0
4,1,0,1,1,90,2048,8,125352.0
2,0,1,0,1,30,32,2,4937.2
1,0,1,0,0,60,64,10,101674.8
2,1,0,1,1,40,64,10,103041.2
5,0,0,0,0,30,8,8,120964.4
4,0,1,1,0,10,1024,10,415840.8
1,0,0,1,1,70,256,8,102901.2
4,1,1,0,1,40,16,6,20423.8
4,0,1,1,0,100,16,6,49459.8
2,1,1,0,1,70,4096,10,100540.6
1,0,0,1,0,10,256,2,17698.4
2,0,0,1,1,80,4,2,17705.0
3,0,0,1,1,20,1024,4,12204.2
2,0,0,0,1,80,2048,6,85586.8
4,0,1,1,1,10,2048,2,35765.6
4,1,1,1,1,90,4096,10,415901.0
4,1,0,0,1,80,4096,6,19067.0
1,1,0,1,0,60,8,10,109719.2
3,1,1,1,1,50,64,0,12153.0
3,1,1,1,1,20,4,2,12847.4
5,0,1,1,0,60,8,0,9142.6
4,0,1,1,1,40,4096,0,35740.2
5,1,0,0,1,20,16,4,9165.2
2,1,0,0,0,70,256,0,4799.6
2,1,1,0,0,20,8,8,86331.2
3,0,1,1,1,10,2,8,39252.8
2,0,0,0,1,90,256,2,4693.6
3,0,1,0,0,50,16,2,12328.0
1,1,1,1,0,20,4,6,103245.0
2,0,0,1,1,0,64,4,18536.4
3,1,0,1,0,10,1024,2,12427.8
5,0,0,0,1,10,1024,0,9191.6
3,0,1,1,1,20,256,6,11062.4
2,0,1,1,1,20,2048,4,12069.2
1,0,0,0,0,40,2048,10,101334.2
1,0,0,0,1,0,4,6,82150.0
1,1,1,0,1,20,128,10,101235.6
4,0,1,1,0,60,64,8,124972.8
3,1,0,0,0,70,64,8,37987.6
2,0,1,0,1,30,2,2,7411.0
2,1,1,0,1,0,512,0,11417.2
4,1,1,0,1,100,64,0,8901.2
4,1,1,0,0,60,2,8,58695.2
2,1,0,0,0,40,2,0,7462.2
3,1,1,0,1,80,256,2,12038.4
2,0,1,1,0,90,128,0,17592.8
2,0,0,0,1,30,16,8,96709.2
3,1,0,1,1,10,512,10,50427.8
5,0,0,1,1,0,64,10,301427.0
4,0,1,1,1,10,256,6,48574.2
4,0,1,1,1,40,1,10,418615.2
1,0,1,0,0,10,1,4,15365.8
1,1,0,1,1,80,128,2,17818.8
3,0,1,0,1,0,128,2,15887.6
4,0,1,0,0,40,2,0,9553.0
3,0,1,1,0,60,2,4,13063.4
1,1,0,0,0,50,1024,10,101351.8
5,1,1,0,1,10,16,4,9161.8
2,0,0,0,1,100,2,4,12822.8
1,1,0,0,1,40,32,2,17766.8
