new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,2,2,1,1,1024,1,337.4748
1,0,2,1,0,0,4096,5,337.4748
0,0,2,0,1,1,2048,1,337.4748
1,1,1,1,0,1,4096,9,337.4748
0,2,1,1,0,0,1024,1,337.4748
0,0,2,1,1,0,4096,9,337.4748
0,1,2,1,0,1,512,9,337.4748
1,0,2,0,1,0,4096,0,167.101
1,1,1,2,1,0,4096,1,337.4748
1,1,1,2,1,1,2048,5,337.4748
1,1,2,0,0,0,4096,1,337.4748
1,0,1,2,0,1,512,1,337.4748
0,1,2,0,1,1,2048,5,337.4748
1,0,1,0,1,1,512,0,167.1644
0,2,2,0,0,0,2048,1,164.6946
1,2,2,0,0,1,2048,9,164.0904
0,2,1,0,0,0,2048,5,167.0674
0,2,2,2,0,0,1024,0,337.4748
1,0,1,2,1,0,4096,1,337.4748
1,0,2,0,1,1,1024,1,337.4748
0,0,2,1,0,0,4096,5,337.4748
1,0,2,2,0,0,512,9,337.4748
0,0,1,0,0,0,1024,0,166.8602
1,2,1,2,1,0,1024,0,337.4748
0,2,1,1,1,0,1024,1,337.4748
0,2,2,0,1,0,1024,5,164.3172
0,1,1,1,0,1,2048,9,337.4748
0,2,2,2,0,0,4096,9,164.3828
0,2,2,0,0,1,4096,9,167.1964
0,0,2,2,1,0,4096,1,337.4748
0,2,1,1,0,0,2048,5,337.4748
1,1,1,1,1,1,1024,9,337.4748
0,0,2,0,1,1,1024,1,337.4748
1,0,1,0,1,0,512,5,337.4748
0,1,2,0,1,1,4096,5,337.4748
0,0,1,0,1,0,1024,9,337.4748
1,0,2,2,0,0,2048,5,337.4748
0,1,2,2,1,0,1024,0,31.0888
0,0,1,2,1,0,1024,5,337.4748
1,2,1,1,0,0,1024,0,337.4748
1,0,2,1,1,1,1024,1,337.4748
0,1,1,0,1,1,4096,0,32.4974
1,1,2,2,0,1,4096,5,337.4748
1,2,1,2,0,0,512,1,337.4748
0,2,2,2,0,1,4096,0,337.4748
0,1,2,0,0,0,2048,5,337.4748
1,1,1,1,1,1,1024,0,337.4748
1,2,1,2,0,1,2048,5,337.4748
1,1,1,2,0,1,1024,1,337.4748
1,1,1,0,1,0,4096,9,337.4748
0,2,2,1,0,1,4096,5,165.3036
1,1,1,1,1,1,512,0,337.4748
1,0,2,2,1,0,512,0,164.1874
0,1,2,1,0,1,2048,1,337.4748
1,2,2,0,0,0,4096,5,165.0282
1,0,2,0,0,0,1024,0,165.4556
1,1,2,2,0,0,2048,0,31.4314
0,2,1,2,1,0,512,9,337.4748
1,1,1,1,0,0,1024,0,337.4748
1,1,2,2,1,1,1024,0,32.0974
0,2,2,1,1,0,4096,5,165.3672
0,0,2,2,0,1,512,5,337.4748
1,0,2,0,1,1,4096,5,337.4748
0,0,1,0,1,0,2048,0,166.6926
0,0,2,0,1,1,4096,5,337.4748
1,2,2,2,1,1,2048,1,165.5798
1,0,1,1,0,0,2048,5,337.4748
0,2,2,1,0,1,512,9,165.396
1,2,2,2,0,1,2048,1,166.0986
0,0,1,2,0,0,4096,5,337.4748
1,1,2,2,0,0,2048,9,337.4748
0,1,2,0,0,0,2048,9,337.4748
1,0,2,0,1,0,2048,0,165.0044
0,2,2,2,0,0,2048,5,165.255
0,2,2,1,0,0,2048,9,165.6608
1,1,2,1,1,1,2048,5,337.4748
1,2,1,1,1,1,512,9,337.4748
1,2,2,1,1,1,512,0,337.4748
1,2,2,1,0,1,1024,9,166.699
1,1,2,0,0,0,4096,0,31.1622
0,2,2,1,1,0,2048,0,337.4748
0,0,2,1,1,0,512,5,337.4748
0,2,1,0,0,1,1024,1,166.278
0,0,2,2,1,1,1024,0,165.1184
0,2,1,1,0,1,1024,1,337.4748
1,0,2,2,1,1,4096,0,162.7602
0,1,2,2,0,1,512,1,337.4748
1,2,1,0,0,1,512,1,167.9768
0,2,2,1,0,0,512,1,165.4646
0,0,2,0,1,1,1024,5,337.4748
1,1,1,0,0,0,512,9,337.4748
1,1,1,1,1,1,2048,1,337.4748
1,0,1,1,0,1,4096,5,337.4748
0,0,1,0,1,0,1024,5,337.4748
0,1,2,0,0,1,512,0,31.1982
1,0,1,0,1,0,4096,5,337.4748
1,2,1,2,1,0,1024,0,337.4748
1,0,2,0,0,0,1024,9,337.4748
0,1,2,1,0,1,512,5,337.4748
0,0,1,2,0,0,2048,5,337.4748
