ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,76305.6
1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,69134.8
0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,69959.0
1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,65179.6
0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,84257.0
0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,89647.8
0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,78425.0
0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,86007.2
0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,70552.0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,68257.4
0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,87823.2
1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,70091.8
0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,83325.0
0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,87910.8
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,70920.8
0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,77565.4
0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,71272.8
1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,77368.8
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,56870.2
0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,74054.0
1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,97132.4
0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,71740.4
0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,89794.8
1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,86597.2
0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,92915.2
0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,78936.0
0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,68490.2
0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,87831.8
1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,87442.0
1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,67000.4
1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,80616.6
0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,70223.8
1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,92351.0
1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,71059.4
0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,80685.4
1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,84030.4
0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,81450.0
0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,96228.4
1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,83437.4
1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,75847.6
0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,67889.8
0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,87799.8
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,66216.2
0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,74816.6
0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,76915.8
1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,79098.4
0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,76697.8
1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,68269.8
0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,80930.8
1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,83109.0
0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,78046.8
1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,89763.6
0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,81348.6
1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,77853.6
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,62613.8
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,60478.6
0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,76536.8
0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,75419.0
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,67131.4
1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,77849.2
1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,73677.4
0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,68491.8
1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,93922.4
1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,85180.8
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,66948.6
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,60907.4
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,74379.8
1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,63320.6
1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,81446.8
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,88508.8
1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,86965.6
0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,87986.6
0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,58826.2
1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,97630.6
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,83920.8
1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,94021.8
0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,78702.6
1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,66432.6
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,61453.0
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,86718.8
0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,71839.0
0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,65478.2
1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,82406.8
0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,67093.0
0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,67643.6
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,60389.6
0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,68032.8
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,58281.8
1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,84967.0
