fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,1,128,8,256,46271.0
0,1,1,1,0,256,8,4096,47064.8
1,0,1,0,1,128,32,4096,138524.6
1,0,1,1,0,128,8,256,142638.0
0,0,1,0,0,64,2,4096,46095.0
0,0,0,0,0,64,8,256,46297.6
1,0,1,0,0,64,32,1024,134519.0
0,1,0,1,0,256,2,1024,46350.2
1,0,0,0,1,64,8,256,133634.4
1,1,1,1,1,128,8,4096,130405.6
0,1,1,1,0,256,2,256,46517.2
1,1,1,0,0,64,32,256,136657.4
0,0,1,1,1,64,2,4096,46572.8
1,0,1,1,1,256,32,4096,139169.0
0,0,1,0,1,256,8,256,46064.6
1,1,1,1,1,64,2,4096,132912.2
1,0,0,0,1,256,2,256,133749.0
1,0,1,0,1,256,8,1024,134254.2
0,0,0,1,1,256,2,1024,46274.2
0,1,1,0,1,64,32,4096,46412.4
1,0,1,0,0,128,8,1024,130578.0
1,0,1,1,1,64,8,1024,142008.0
0,1,1,0,0,256,2,4096,46427.0
1,0,0,0,1,128,2,256,135331.6
0,0,0,0,1,128,8,256,46184.2
0,0,1,1,0,64,2,1024,46456.0
1,0,1,0,1,128,8,1024,136768.0
1,1,1,0,0,64,8,4096,130763.8
0,1,1,1,1,256,8,1024,46674.6
1,1,0,0,0,128,32,4096,134334.8
0,1,1,1,0,256,8,1024,46824.8
0,0,1,0,1,64,8,256,46344.4
1,0,0,1,1,64,8,256,136979.0
1,1,0,0,1,256,32,256,134256.8
1,0,0,1,1,64,8,4096,134738.4
0,1,0,0,1,256,2,1024,46142.2
0,1,1,0,1,256,8,1024,46398.4
0,1,0,1,0,128,32,4096,46190.0
1,0,0,1,0,64,32,4096,130955.8
1,1,0,0,0,128,8,4096,137327.0
0,0,1,0,1,256,2,256,46342.0
1,1,1,0,0,64,32,256,136657.4
0,0,0,1,1,128,8,256,46472.4
1,0,0,0,1,128,8,256,133596.6
0,0,0,1,1,128,2,1024,46407.8
1,1,1,0,0,64,2,1024,129472.0
1,1,0,1,1,256,32,1024,127450.4
1,0,1,0,1,256,8,256,134102.0
0,0,0,0,0,128,2,256,46236.8
0,1,0,1,0,128,2,1024,46599.4
1,1,1,0,0,64,8,256,130526.8
1,1,1,1,1,64,8,256,131856.0
1,1,0,1,0,256,2,1024,133595.4
0,0,1,0,0,128,32,4096,46233.6
0,1,0,1,1,64,8,4096,46329.0
0,1,0,1,0,128,32,4096,46190.0
1,1,1,0,0,128,32,1024,132014.6
0,1,0,0,1,256,2,4096,46310.8
0,1,1,0,1,128,2,1024,46282.6
1,0,1,1,0,128,2,256,138332.6
0,1,0,0,1,128,32,4096,46213.6
0,1,1,0,1,128,2,1024,46282.6
0,0,1,0,1,128,8,256,46271.0
0,1,1,1,1,256,8,256,46778.4
1,1,0,0,1,128,2,4096,133053.0
0,1,0,0,0,64,2,256,46500.4
0,1,1,0,1,64,2,256,46194.4
0,0,0,1,1,64,32,4096,46546.8
0,0,0,1,1,64,32,4096,46546.8
0,1,1,0,0,256,32,4096,46191.2
0,1,1,1,1,64,8,1024,46751.8
1,0,1,1,1,64,2,4096,139900.6
1,0,0,1,0,256,32,1024,133283.0
0,0,1,0,1,64,32,1024,46132.6
0,0,1,1,1,256,8,1024,46796.2
0,1,1,1,0,64,2,4096,46404.4
1,0,1,0,1,64,32,1024,138701.4
1,0,1,1,0,256,8,256,139655.8
1,0,0,0,0,64,32,4096,131737.4
1,1,0,1,1,128,8,1024,129166.2
1,1,1,1,1,128,32,256,135538.4
0,0,1,0,1,256,2,4096,46301.0
0,0,1,0,0,128,2,1024,46254.6
0,0,0,1,0,64,32,1024,46258.0
0,0,1,1,1,64,32,1024,46610.2
1,1,0,0,0,128,8,256,125404.4
1,0,1,1,0,128,8,4096,136843.8
0,0,1,0,0,64,8,256,46528.8
1,1,1,1,1,64,2,256,128684.6
0,0,1,0,1,128,32,1024,47486.6
0,1,0,1,0,64,2,1024,46447.6
0,1,1,0,1,64,8,1024,46293.6
0,1,0,0,1,256,2,1024,46142.2
0,0,0,1,1,64,2,1024,46426.0
0,1,0,0,0,256,8,4096,46102.0
1,0,0,1,0,64,32,256,130240.8
1,1,0,1,1,64,32,256,135693.6
0,1,0,0,0,64,8,1024,46294.0
1,1,1,0,0,128,2,1024,135272.2
0,1,0,0,1,64,2,1024,46267.8
