WindowSize,CompressionLevel,Performance
13,2,1.942
11,7,5.078
17,2,2.102
23,11,315.238
19,4,2.8
18,10,279.698
14,7,5.896
10,5,3.306
22,7,19.626
20,4,2.808
12,8,5.318
24,11,394.158
22,7,19.626
24,8,38.644
21,8,18.874
17,7,7.636
15,0,1.534
23,10,318.954
13,11,315.078
16,0,1.59
23,5,7.178
21,1,1.598
17,11,307.42
24,9,108.602
10,0,1.662
23,6,10.22
18,10,279.698
12,2,1.988
19,3,2.552
19,3,2.552
23,5,7.178
11,2,1.998
24,6,10.176
14,6,4.874
16,7,6.998
12,0,1.528
11,3,2.476
15,3,2.392
23,1,1.572
11,7,5.078
12,10,328.816
19,0,1.614
23,1,1.572
10,10,363.364
19,9,14.048
18,11,279.692
18,2,2.094
14,0,1.472
21,9,23.614
14,6,4.874
14,10,301.488
15,11,292.192
18,7,8.628
19,9,14.048
24,6,10.176
14,7,5.896
13,9,6.862
23,7,20.474
22,1,1.586
19,5,7.372
21,4,2.768
18,0,1.628
20,3,2.546
22,6,10.266
14,6,4.874
24,0,1.574
17,7,7.636
22,2,2.05
10,2,2.146
20,1,1.636
22,4,2.748
19,8,11.508
15,6,5.306
21,6,10.46
11,11,343.996
23,5,7.178
12,9,6.47
18,2,2.094
13,7,5.554
24,6,10.176
18,11,279.692
20,8,14.64
11,0,1.526
22,3,2.5
18,10,279.698
20,6,10.658
22,0,1.596
12,6,3.846
15,2,1.972
15,10,291.618
21,2,2.06
15,2,1.972
13,2,1.942
16,2,2.026
15,11,292.192
19,1,1.604
20,10,246.512
11,0,1.526
21,7,15.806
14,7,5.896
