topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,1000000,1,0,1,10,512,100,2,0,0.00132499390612
4,10,2,10,1,1,1,1000,512,100,2,29,2.0
4,10,2,1000000,10,0,1000,1000,512,100,2,29,2.0
4,10,4,1000000,10,0,1,1000,1024,10000,2,29,2.0
4,1,4,10,10,1,1,10,512,100,2,29,0.145896399911
2,10,4,1000000,10,1,1,10,512,10000,5,0,2.0
4,10,2,10,10,1,1000,1000,512,100,5,0,2.0
4,1,2,1000000,10,0,1000,1000,1024,10000,5,0,2.0
2,1,2,10,1,0,1000,10,512,100,2,29,0.826286898629
2,1,4,10,10,1,1,1000,1024,10000,2,29,0.150166883868
2,1,2,10,1,0,1000,10,1024,100,5,0,0.304670978003
2,10,2,10,10,0,1,10,512,100,2,29,0.148818740017
2,10,4,1000000,10,0,1,1000,1024,10000,5,0,2.0
2,1,2,1000000,1,0,1,10,1024,10000,5,29,2.0
4,10,4,10,10,1,1000,10,512,10000,5,29,2.0
4,10,2,10,1,1,1000,10,1024,100,2,0,0.61947209955
2,10,2,1000000,10,0,1,1000,512,100,2,0,2.0
2,10,2,1000000,10,0,1,10,1024,10000,2,0,2.0
2,1,2,1000000,10,0,1,1000,512,100,2,0,2.0
2,1,2,1000000,1,1,1,10,1024,10000,5,0,2.0
2,1,4,1000000,10,0,1000,10,1024,100,2,29,2.0
4,10,4,10,10,1,1000,1000,1024,10000,5,0,0.169648243396
4,10,4,10,10,0,1000,1000,1024,100,2,0,2.0
2,10,4,1000000,1,1,1,1000,512,10000,2,0,0.00248521467489
4,10,4,1000000,1,1,1000,1000,512,10000,5,0,0.000129367339241
4,10,2,10,1,0,1000,10,512,10000,2,29,2.0
2,10,4,10,10,0,1,10,1024,100,2,0,0.149390679832
4,1,2,10,1,1,1,1000,1024,100,5,29,2.0
2,10,2,10,1,1,1000,10,1024,100,5,0,0.268175770723
2,1,4,10,10,1,1000,10,512,10000,5,0,2.0
2,1,4,1000000,10,1,1000,1000,1024,100,5,29,2.0
2,10,2,10,1,0,1,1000,512,100,2,0,2.0
4,1,4,10,1,1,1000,10,512,100,5,0,0.238260594845
2,1,4,1000000,1,1,1000,1000,1024,100,5,0,2.0
2,1,2,1000000,1,0,1,10,1024,10000,2,0,2.0
4,1,4,10,10,0,1,1000,512,10000,5,0,0.0814755502538
2,1,4,1000000,10,1,1,1000,1024,100,2,0,2.0
4,1,4,1000000,10,1,1000,10,512,100,5,0,2.0
2,10,4,10,10,0,1,1000,512,100,2,0,2.0
2,10,4,10,10,0,1,10,1024,100,5,0,0.133851619747
2,1,2,10,10,1,1000,1000,1024,100,2,29,2.0
2,10,4,10,10,1,1,10,512,100,2,29,0.149319868236
4,10,2,1000000,10,1,1,1000,512,100,5,0,2.0
2,10,2,1000000,10,1,1,10,512,10000,5,29,2.0
2,10,2,10,10,0,1000,1000,512,10000,2,29,0.727817927045
4,1,2,1000000,10,0,1000,1000,1024,10000,5,0,2.0
4,1,2,1000000,10,0,1000,10,1024,100,2,29,2.0
4,10,2,10,10,1,1,10,1024,100,2,0,0.144699411583
4,1,2,10,1,0,1,1000,512,100,5,0,2.0
2,1,4,1000000,10,1,1,1000,512,100,2,0,2.0
4,1,2,1000000,1,0,1,10,512,10000,2,0,2.0
4,1,2,10,10,1,1000,10,512,10000,5,29,2.0
2,1,4,10,1,0,1,10,1024,10000,2,29,2.0
2,1,2,1000000,1,1,1000,1000,512,100,2,29,2.0
2,10,2,10,1,0,1,10,1024,100,5,0,0.0147138326368
2,1,4,1000000,10,1,1,1000,1024,100,5,0,2.0
4,1,2,1000000,10,1,1,1000,1024,100,5,0,2.0
4,10,2,10,1,1,1000,10,512,10000,5,0,2.0
2,10,4,10,10,1,1,1000,1024,10000,5,29,0.136312322716
4,1,2,10,1,0,1000,10,1024,100,2,0,0.488861472091
2,1,4,10,1,1,1000,10,1024,10000,5,0,2.0
2,1,2,1000000,10,0,1,1000,1024,100,2,29,2.0
4,1,2,10,10,0,1,10,512,10000,2,0,2.0
4,10,4,10,10,1,1,10,1024,10000,2,0,2.0
2,10,4,1000000,10,0,1000,10,1024,100,5,29,2.0
4,1,4,10,10,0,1000,10,1024,10000,5,0,2.0
2,10,2,10,1,1,1,1000,512,10000,5,29,0.0147506001964
2,1,2,1000000,10,0,1000,10,1024,100,5,29,2.0
4,1,2,10,10,1,1,1000,1024,10000,2,0,0.143979039768
4,10,2,10,1,1,1000,1000,512,100,5,0,2.0
2,10,2,1000000,10,1,1000,10,1024,10000,2,0,2.0
4,1,4,10,1,0,1,1000,512,10000,2,0,0.0149984407831
4,1,2,1000000,10,1,1,10,1024,10000,2,29,2.0
4,10,2,1000000,10,0,1,10,512,100,5,0,0.000241031779427
4,10,2,10,1,1,1000,10,512,10000,2,29,2.0
4,1,4,1000000,10,0,1,1000,512,100,2,0,2.0
4,1,2,10,1,1,1,1000,1024,10000,2,29,0.0147764736642
4,1,2,1000000,10,1,1,1000,512,100,5,0,2.0
2,10,4,1000000,10,0,1000,10,512,100,5,0,2.0
4,1,2,10,1,0,1,1000,512,10000,5,29,0.0145599535912
2,1,2,10,10,1,1,10,1024,10000,2,29,2.0
4,10,4,10,1,0,1,1000,512,10000,5,29,0.0143679452245
2,10,2,1000000,1,1,1,10,1024,10000,5,29,2.0
2,10,2,1000000,10,0,1000,10,1024,100,2,0,2.0
2,1,4,1000000,10,0,1,1000,1024,100,5,0,2.0
4,10,4,1000000,10,1,1,10,512,100,5,0,6.80880732846e-06
4,1,4,10,1,0,1000,10,512,100,2,0,0.727047170055
2,1,4,1000000,1,0,1000,10,512,100,5,0,2.0
4,1,4,10,1,1,1000,1000,1024,100,2,0,2.0
4,10,4,10,1,1,1000,10,512,100,2,0,0.726714900258
2,10,2,10,1,0,1000,1000,512,100,2,0,2.0
2,1,2,1000000,1,1,1,1000,512,100,5,29,2.0
2,10,4,1000000,10,1,1000,10,1024,10000,2,0,2.0
4,10,2,10,10,1,1,1000,1024,100,5,29,2.0
4,10,2,10,10,1,1,10,512,10000,5,29,2.0
2,10,4,10,10,1,1000,10,512,10000,5,29,2.0
2,10,4,10,10,1,1,1000,512,10000,2,29,0.149799208272
2,1,2,10,10,1,1000,1000,512,100,2,0,2.0
2,1,4,1000000,1,0,1,1000,512,100,5,0,2.0
4,1,2,1000000,1,1,1,1000,1024,100,2,0,2.0
