new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,3,1,0,1,1,0,1,1,81.854
1,2,3,1,0,0,0,1,1,0,113.162
1,3,2,0,0,0,1,1,0,1,194.814
2,2,1,1,1,0,1,1,0,0,70.472
1,3,3,1,1,0,0,1,1,1,146.34
4,3,2,0,0,1,1,1,1,0,44.462
2,3,3,1,1,0,1,0,1,1,80.902
4,2,1,0,0,0,0,1,0,1,36.406
4,1,1,0,1,0,1,0,0,0,23.72
1,2,3,0,1,0,1,0,0,0,129.534
2,1,3,1,1,0,1,0,1,0,43.28
3,1,3,1,0,1,1,1,1,1,32.29
3,2,1,1,0,1,1,0,0,0,47.484
4,1,3,0,1,1,0,1,0,0,24.538
2,1,2,1,0,1,1,1,0,1,47.66
4,1,1,0,0,0,1,1,1,1,25.404
4,2,3,0,0,1,1,0,0,1,37.032
1,1,2,1,1,0,1,0,0,0,79.92
4,1,1,0,0,0,1,0,1,0,23.776
2,2,3,1,1,0,1,0,1,0,59.696
2,2,2,0,0,0,0,0,0,0,65.822
2,2,2,1,0,0,0,1,0,1,67.808
2,1,2,1,0,1,0,1,1,1,47.146
3,1,1,1,1,1,1,1,1,0,31.164
2,1,1,1,1,1,0,1,1,1,46.026
3,1,2,1,1,1,1,0,0,0,29.674
4,2,3,1,1,1,0,0,1,0,30.254
4,3,2,0,0,1,0,0,0,0,46.236
4,1,2,0,1,1,1,0,1,0,24.09
3,3,1,0,0,0,1,0,1,0,58.76
1,1,1,1,0,0,0,0,1,1,80.746
2,2,3,0,0,1,0,1,0,1,71.732
1,1,1,1,0,1,1,0,1,0,81.566
3,2,3,0,1,0,0,0,0,0,45.906
3,1,2,0,1,1,0,0,1,1,31.296
4,2,2,1,0,0,0,0,1,0,29.544
1,1,1,1,0,1,1,1,1,1,89.348
2,3,1,0,1,0,1,0,1,1,83.06
2,2,3,1,0,1,1,0,0,1,67.2
2,3,3,1,1,0,0,1,0,1,90.614
4,1,2,1,0,0,0,0,1,0,23.148
1,3,3,0,1,1,1,1,1,1,164.926
4,3,3,0,1,0,0,1,1,0,40.81
3,1,2,0,0,1,0,0,1,0,32.032
4,3,3,0,0,0,1,1,0,1,53.14
1,3,2,0,1,1,1,1,0,1,193.77
4,3,3,1,0,0,1,0,1,1,42.394
3,1,1,1,0,0,0,0,0,1,29.428
4,2,3,0,1,0,0,1,1,1,31.722
1,3,1,1,0,0,0,0,1,0,137.304
4,1,1,0,1,0,0,1,0,0,24.874
1,1,2,0,1,0,0,1,0,0,92.894
4,3,2,1,0,1,0,0,0,1,43.546
2,1,2,1,1,0,0,0,1,0,42.288
1,2,1,1,0,1,0,0,0,1,116.648
2,1,3,1,1,1,1,0,0,1,43.296
2,2,3,1,0,0,0,0,1,1,56.226
2,2,3,0,1,0,1,1,1,1,66.074
3,1,2,1,1,1,1,0,0,1,29.398
1,1,3,0,0,0,1,0,0,1,87.83
3,1,2,0,1,0,1,0,0,0,31.684
1,2,1,1,1,1,0,0,0,1,114.69
1,1,2,0,0,1,0,0,1,0,86.048
3,1,3,0,0,1,1,1,0,0,34.006
1,2,2,1,0,1,1,1,1,0,119.08
3,2,1,0,1,1,1,1,0,0,53.388
2,1,1,1,0,0,1,0,1,1,43.772
3,3,3,0,1,1,0,0,0,1,61.424
4,3,3,0,0,0,1,1,1,1,44.852
3,2,1,0,0,1,0,1,0,0,49.962
4,2,2,1,1,0,0,0,1,1,28.638
2,2,1,0,1,0,0,0,0,0,64.352
1,1,2,0,0,0,1,0,0,1,87.306
4,1,1,0,0,1,0,0,1,0,23.478
1,1,2,0,0,0,0,0,0,0,86.002
4,3,2,1,1,1,1,0,1,1,41.228
3,2,1,0,1,0,1,0,1,1,43.37
4,3,3,1,1,0,1,1,1,0,42.708
2,2,3,1,0,0,1,0,0,1,66.978
2,1,1,1,1,1,0,0,1,0,41.828
4,1,2,1,0,0,0,0,1,0,23.148
3,1,1,0,1,1,1,1,1,0,33.448
3,1,3,0,0,0,0,1,0,0,33.736
2,3,1,1,0,1,0,1,1,1,77.542
3,1,2,0,0,1,1,0,0,0,32.476
2,2,3,1,1,0,1,0,1,0,59.696
2,3,3,0,0,1,0,1,1,1,80.61
4,1,1,1,1,0,0,0,0,0,21.636
2,1,1,0,1,1,0,0,1,1,44.58
1,2,3,0,0,0,1,0,0,1,131.808
2,1,1,0,0,0,1,1,1,1,50.44
1,1,3,1,0,0,0,0,1,0,81.676
4,2,2,0,0,0,1,0,1,0,32.44
4,3,3,1,1,0,1,1,0,0,49.88
3,3,3,1,1,0,0,0,0,0,58.522
1,1,1,0,0,0,0,1,1,1,94.59
3,1,1,1,0,0,0,1,0,0,31.736
2,3,3,0,1,1,0,1,0,1,95.62
2,3,1,0,1,0,1,1,1,0,87.392
2,1,1,0,1,0,1,1,0,0,49.298
